date,hour_of_day,osmid,subarea,help_convined,help_independent,rank,building_type_name
2024-03-25,2,W518582008,Abando,54,66,5,amenity_place_of_worship
2024-03-25,2,W40321136,Ibaiondo,53,53,3,amenity_school
2024-03-25,2,N506170042,Begona,51,51,1,railway_subway_entrance
2024-03-25,2,W297437908,Basurtu-Zorrotza,49,49,3,amenity_place_of_worship
2024-03-25,2,W302874410,Uribarri,49,49,5,amenity_place_of_worship
2024-03-25,2,N4060532221,Uribarri,47,108,6,railway_subway_entrance
2024-03-25,2,N1851625175,Abando,46,47,6,railway_subway_entrance
2024-03-25,2,N6612828074,Ibaiondo,46,46,4,amenity_place_of_worship
2024-03-25,2,N11641427626,Deusto,45,45,1,tourism_museum
2024-03-25,2,W521860095,Basurtu-Zorrotza,44,44,4,amenity_place_of_worship
2024-03-25,2,W146669294,Errekalde,42,42,2,amenity_place_of_worship
2024-03-25,2,N4060532216,Otxarkoaga-Txurdinaga,39,39,2,railway_subway_entrance
2024-03-25,2,W112164512,Deusto,38,38,2,amenity_place_of_worship
2024-03-25,2,N4060532217,Otxarkoaga-Txurdinaga,37,40,3,railway_subway_entrance
2024-03-25,2,W302871940,Begona,36,48,2,amenity_school
2024-03-25,2,W248684621,Deusto,36,36,3,amenity_school
2024-03-25,2,W138646173,Basurtu-Zorrotza,35,47,5,amenity_school
2024-03-25,2,W53668485,Ibaiondo,33,33,5,amenity_school
2024-03-25,2,W40287021,Ibaiondo,31,49,6,amenity_school
2024-03-25,2,W138709160,Errekalde,31,31,3,amenity_school
2024-03-25,2,W40111841,Begona,30,32,3,amenity_place_of_worship
2024-03-25,2,W41577091,Ibaiondo,29,55,7,amenity_place_of_worship
2024-03-25,2,W40347954,Begona,28,33,4,amenity_school
2024-03-25,2,N610953374,Uribarri,27,79,7,amenity_place_of_worship
2024-03-25,2,W248831480,Abando,27,31,7,amenity_school
